tag,config_policy,prompt_generation_target,rag_chunk_file,rag_chunk_count,rag_rule_reaches_prompt,current_generation_path,source_label_in_results,generated_books,generated_occurrences,skipped_books,gold_books,gold_occurrences,evaluated_by_evaluate_koma
020,required,True,ai/rag/chunks/kormarc-020.jsonl,5,True,llm,api=40,33,40,0,33,37,True
041,conditional,True,ai/rag/chunks/kormarc-041.jsonl,6,True,llm,ai_inference=3,3,3,27,3,3,True
049,not_configured,False,,0,False,not_generated,,0,0,0,33,33,False
056,review_required,True,ai/rag/chunks/kormarc-056.jsonl,6,True,llm,api=30,30,30,3,33,33,True
082,review_required,True,ai/rag/chunks/kormarc-082.jsonl,5,True,llm,,0,0,33,0,0,True
090,not_configured,False,,0,False,not_generated,,0,0,0,33,33,False
245,required,True,ai/rag/chunks/kormarc-245.jsonl,8,True,llm,api=33,33,33,0,33,33,True
246,conditional,True,ai/rag/chunks/kormarc-246.jsonl,3,True,llm,ai_inference=6,6,6,26,4,4,False
250,conditional,True,ai/rag/chunks/kormarc-250.jsonl,4,True,llm,,0,0,33,0,0,True
260,required,True,ai/rag/chunks/kormarc-260.jsonl,5,True,llm,api=33,33,33,0,33,33,True
300,conditional,True,ai/rag/chunks/kormarc-300.jsonl,5,True,llm,api=33,33,33,0,33,33,True
440,not_configured,False,,0,False,not_generated,,0,0,0,17,18,False
490,conditional,True,ai/rag/chunks/kormarc-490.jsonl,5,True,llm,api=7,7,7,26,0,0,False
500,conditional,True,ai/rag/chunks/kormarc-500.jsonl,6,True,llm,ai_inference=25,25,25,8,6,10,False
504,not_configured,False,,0,False,not_generated,,0,0,0,4,5,False
505,not_configured,False,,0,False,not_generated,,0,0,0,2,2,False
525,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
536,not_configured,False,,0,False,not_generated,,0,0,0,1,1,False
546,conditional,True,ai/rag/chunks/kormarc-546.jsonl,6,True,llm,ai_inference=5,5,5,28,3,3,False
586,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
600,not_configured,False,,0,False,not_generated,,0,0,0,1,2,False
650,skipped_by_default,False,ai/rag/chunks/kormarc-650.jsonl,6,False,not_generated,,0,0,33,0,0,False
653,review_required,True,ai/rag/chunks/kormarc-653.jsonl,8,True,llm,ai_inference=33,33,33,0,33,33,True
700,required,True,ai/rag/chunks/kormarc-700.jsonl,6,True,llm,ai_inference=51,33,51,0,33,116,False
710,conditional,True,ai/rag/chunks/kormarc-710.jsonl,3,True,llm,ai_inference=6,5,6,26,0,0,False
740,not_configured,False,,0,False,not_generated,,0,0,0,2,17,False
830,skipped_by_default,False,,0,False,not_generated,,0,0,4,0,0,False
900,not_configured,False,,0,False,not_generated,,0,0,0,3,8,False
940,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
949,not_configured,False,,0,False,not_generated,,0,0,0,1,1,False
950,skipped_by_default,False,,0,False,not_generated,,0,0,4,33,33,False
