tag,config_policy,prompt_generation_target,rag_chunk_file,rag_chunk_count,rag_rule_reaches_prompt,current_generation_path,source_label_in_results,generated_books,generated_occurrences,skipped_books,gold_books,gold_occurrences,evaluated_by_evaluate_koma
020,required,True,,0,False,llm,api=33,33,33,0,33,37,True
041,conditional,True,ai/rag/chunks/kormarc-041.jsonl,6,True,llm,ai_inference=5,5,5,28,3,3,True
049,not_configured,False,,0,False,not_generated,,0,0,0,33,33,False
056,review_required,True,ai/rag/chunks/kormarc-056.jsonl,6,True,llm,ai_inference=8;api=13,21,21,12,33,33,True
082,review_required,True,ai/rag/chunks/kormarc-082.jsonl,6,True,llm,ai_inference=1,1,1,32,0,0,True
090,not_configured,False,,0,False,not_generated,,0,0,0,33,33,False
245,required,True,,0,False,llm,api=33,33,33,0,33,33,True
246,conditional,True,,0,False,llm,ai_inference=1,1,1,32,4,4,False
250,conditional,True,,0,False,llm,,0,0,32,0,0,True
260,required,True,,0,False,llm,api=32,32,32,1,33,33,True
300,conditional,True,,0,False,llm,api=11,11,11,22,33,33,True
440,not_configured,False,,0,False,not_generated,,0,0,0,17,18,False
490,conditional,True,,0,False,llm,api=3,3,3,30,0,0,False
500,conditional,True,ai/rag/chunks/kormarc-500.jsonl,6,True,llm,ai_inference=22,22,22,11,6,10,False
504,not_configured,False,,0,False,not_generated,,0,0,0,4,5,False
505,not_configured,False,,0,False,not_generated,,0,0,0,2,2,False
525,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
536,not_configured,False,,0,False,not_generated,,0,0,0,1,1,False
546,conditional,True,ai/rag/chunks/kormarc-546.jsonl,6,True,llm,ai_inference=19,19,19,14,3,3,False
586,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
600,not_configured,False,,0,False,not_generated,,0,0,0,1,2,False
650,skipped_by_default,False,ai/rag/chunks/kormarc-650.jsonl,6,False,not_generated,,0,0,33,0,0,False
653,review_required,True,ai/rag/chunks/kormarc-653.jsonl,8,True,llm,ai_inference=31,31,31,2,33,33,True
700,required,True,,0,False,llm,ai_inference=5;api=27,23,32,7,33,116,False
710,required,True,,0,False,llm,,0,0,25,0,0,False
740,not_configured,False,,0,False,not_generated,,0,0,0,2,17,False
830,conditional,True,,0,False,llm,api=3,3,3,30,0,0,False
900,not_configured,False,,0,False,not_generated,,0,0,0,3,8,False
940,not_configured,False,,0,False,not_generated,,0,0,0,3,3,False
949,not_configured,False,,0,False,not_generated,,0,0,0,1,1,False
950,conditional,True,,0,False,llm,api=2,2,2,31,33,33,False
