isbn,tag,generated_count,source_labels,generated_by_labels,review_required_count,skip_reasons
9791194630678,020,1,api=1,rule=1,0,
9791194630678,041,0,,,0,번역·다국어 근거 없음: 041 생성 보류
9791194630678,056,1,api=1,rule=1,1,
9791194630678,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9791194630678,245,1,api=1,rule=1,1,
9791194630678,246,1,ai_inference=1,llm=1,1,
9791194630678,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9791194630678,260,1,api=1,rule=1,1,
9791194630678,300,1,api=1,rule=1,1,
9791194630678,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9791194630678,500,1,ai_inference=1,llm=1,1,
9791194630678,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9791194630678,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791194630678,653,1,ai_inference=1,llm=1,1,
9791194630678,700,2,ai_inference=2,llm=2,2,
9791194630678,710,2,ai_inference=2,llm=2,2,
9791124248232,020,1,api=1,rule=1,0,
9791124248232,041,0,,,0,번역·다국어 근거 없음: 041 생성 보류
9791124248232,056,1,api=1,rule=1,1,
9791124248232,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9791124248232,245,1,api=1,rule=1,1,
9791124248232,246,0,,,0,대체표제 근거 없음
9791124248232,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9791124248232,260,1,api=1,rule=1,1,
9791124248232,300,1,api=1,rule=1,1,
9791124248232,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9791124248232,500,0,,,0,일반주기 근거 부족: description 단순 복사 금지
9791124248232,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9791124248232,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791124248232,653,1,ai_inference=1,llm=1,1,
9791124248232,700,1,ai_inference=1,llm=1,1,
9791124248232,710,0,,,0,단체 저작 근거 없음
9791173578823,020,1,api=1,rule=1,0,
9791173578823,056,1,api=1,rule=1,1,
9791173578823,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9791173578823,245,1,api=1,rule=1,1,
9791173578823,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9791173578823,260,1,api=1,rule=1,1,
9791173578823,300,1,api=1,rule=1,1,
9791173578823,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9791173578823,500,1,ai_inference=1,llm=1,1,
9791173578823,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9791173578823,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791173578823,653,1,ai_inference=1,llm=1,1,
9791173578823,700,1,ai_inference=1,llm=1,1,
9788960909830,020,1,api=1,rule=1,0,
9788960909830,041,1,ai_inference=1,llm=1,1,
9788960909830,056,1,api=1,rule=1,1,
9788960909830,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9788960909830,245,1,api=1,rule=1,1,
9788960909830,246,0,,,0,대체표제 근거 없음
9788960909830,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9788960909830,260,1,api=1,rule=1,1,
9788960909830,300,1,api=1,rule=1,1,
9788960909830,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9788960909830,500,1,ai_inference=1,llm=1,1,
9788960909830,546,1,ai_inference=1,llm=1,1,
9788960909830,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9788960909830,653,1,ai_inference=1,llm=1,1,
9788960909830,700,2,ai_inference=2,llm=2,2,
9788960909830,710,1,ai_inference=1,llm=1,1,
9791158366179,020,2,api=2,rule=2,1,
9791158366179,041,0,,,0,번역·다국어 근거 없음: 041 생성 보류
9791158366179,056,1,api=1,rule=1,1,
9791158366179,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9791158366179,245,1,api=1,rule=1,1,
9791158366179,246,1,ai_inference=1,llm=1,1,
9791158366179,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9791158366179,260,1,api=1,rule=1,1,
9791158366179,300,1,api=1,rule=1,1,
9791158366179,490,1,api=1,rule=1,1,
9791158366179,500,1,ai_inference=1,llm=1,1,
9791158366179,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9791158366179,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791158366179,653,1,ai_inference=1,llm=1,1,
9791158366179,700,1,ai_inference=1,llm=1,1,
9791158366179,710,0,,,0,단체 저작 근거 없음
9791158366179,830,0,,,0,생성 대상 아님
9791158366179,950,0,,,0,생성 대상 아님
9788939231900,020,1,api=1,rule=1,0,
9788939231900,041,0,,,0,번역·다국어 근거 없음: 041 생성 보류
9788939231900,056,1,api=1,rule=1,1,
9788939231900,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9788939231900,245,1,api=1,rule=1,1,
9788939231900,246,0,,,0,대체표제 근거 없음
9788939231900,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9788939231900,260,1,api=1,rule=1,1,
9788939231900,300,1,api=1,rule=1,1,
9788939231900,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9788939231900,500,0,,,0,일반주기 근거 부족: description 단순 복사 금지
9788939231900,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9788939231900,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9788939231900,653,1,ai_inference=1,llm=1,1,
9788939231900,700,1,ai_inference=1,llm=1,1,
9788939231900,710,0,,,0,단체 저작 근거 없음
9788961555951,020,1,api=1,rule=1,0,
9788961555951,041,0,,,0,번역·다국어 근거 없음: 041 생성 보류
9788961555951,056,1,api=1,rule=1,1,
9788961555951,082,0,,,0,DDC 근거 없음: API 분류기호 미수집
9788961555951,245,1,api=1,rule=1,1,
9788961555951,246,0,,,0,대체표제 근거 없음
9788961555951,250,0,,,0,판사항 근거 없음: 판 표시 미수집
9788961555951,260,1,api=1,rule=1,1,
9788961555951,300,1,api=1,rule=1,1,
9788961555951,490,0,,,0,총서사항 근거 없음: 총서명 미수집
9788961555951,500,1,ai_inference=1,llm=1,1,
9788961555951,546,0,,,0,언어주기 근거 없음: 단일 언어 추정만으로 생성 금지
9788961555951,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9788961555951,653,1,ai_inference=1,llm=1,1,
