isbn,tag,generated_count,source_labels,generated_by_labels,review_required_count,skip_reasons
9791194630678,020,1,api=1,unset=1,1,
9791194630678,041,0,,,0,번역 또는 다국어 정황 없음
9791194630678,056,1,ai_inference=1,unset=1,1,
9791194630678,082,0,,,0,DDC 근거 없음: 056만 생성
9791194630678,245,1,api=1,unset=1,1,
9791194630678,246,0,,,0,대체표제 근거 부족
9791194630678,250,0,,,0,판차 정보 근거 부족
9791194630678,260,1,api=1,unset=1,1,
9791194630678,300,0,,,0,형태사항은 일부 정보만 있으나 필드 구성에 필요한 검증된 기술 근거 부족
9791194630678,490,0,,,0,총서 정보 근거 부족
9791194630678,500,1,ai_inference=1,unset=1,1,
9791194630678,546,1,ai_inference=1,unset=1,1,
9791194630678,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791194630678,653,1,ai_inference=1,unset=1,1,
9791194630678,700,2,ai_inference=2,unset=2,2,
9791194630678,830,0,,,0,총서명 근거 부족
9791194630678,950,0,,,0,소장 또는 가격 부가필드 생성 근거 부족
9791124248232,020,1,api=1,unset=1,1,
9791124248232,041,0,,,0,번역 정황 없음: 041 생성 보류
9791124248232,056,0,,,0,근거 부족: 056 생성에 필요한 evidence 미수집
9791124248232,082,0,,,0,DDC 근거 부족: 082 생성 보류
9791124248232,245,1,api=1,unset=1,0,
9791124248232,246,0,,,0,대체표제 근거 부족
9791124248232,250,0,,,0,판사항 근거 부족
9791124248232,260,1,api=1,unset=1,0,
9791124248232,300,0,,,0,물리적 서술 근거는 있으나 필드 생성에 필요한 확정 형식 정보만으로는 보수적 생성 불가
9791124248232,490,0,,,0,총서 정보 근거 부족
9791124248232,500,1,ai_inference=1,unset=1,1,
9791124248232,546,1,ai_inference=1,unset=1,1,
9791124248232,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791124248232,653,1,ai_inference=1,unset=1,1,
9791124248232,700,0,,,0,개인명 추가표목 근거 부족
9791124248232,710,0,,,0,단체명 추가표목 근거 부족
9791124248232,830,0,,,0,총서 접근표목 근거 부족
9791124248232,950,0,,,0,비표준 로컬 주기 필드 생성 기준 미충족
9791173578823,020,1,api=1,unset=1,1,
9791173578823,041,0,,,0,번역 정황이 없으면 생성하지 않음
9791173578823,056,0,,,0,근거 부족: 056 생성에 필요한 evidence 미수집
9791173578823,082,0,,,0,DDC 근거 부족: 082 생성 보류
9791173578823,245,1,api=1,unset=1,0,
9791173578823,246,0,,,0,대체표제 근거 부족
9791173578823,250,0,,,0,판차사항 근거 부족
9791173578823,260,1,api=1,unset=1,0,
9791173578823,300,0,,,0,면수와 크기 정보는 서지 입력으로 처리하되 MARC 생성 근거로 별도 확정 필요
9791173578823,490,0,,,0,총서 정보 근거 부족
9791173578823,500,0,,,0,일반주기 근거 부족: description 단순 복사 금지
9791173578823,546,0,,,0,언어주기 생성 조건 미충족
9791173578823,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9791173578823,653,1,ai_inference=1,unset=1,1,
9791173578823,700,1,api=1,unset=1,0,
9791173578823,710,0,,,0,단체명 근거 부족
9791173578823,830,0,,,0,총서명 근거 부족
9791173578823,950,0,,,0,로컬 관리필드 생성 근거 없음
9788960909830,020,1,api=1,unset=1,1,
9788960909830,041,1,ai_inference=1,unset=1,1,
9788960909830,056,1,api=1,unset=1,1,
9788960909830,082,0,,,0,DDC 근거 부족: 082 생성 보류
9788960909830,245,1,api=1,unset=1,1,
9788960909830,246,0,,,0,대체표제 근거 부족
9788960909830,250,0,,,0,판사항 근거 부족
9788960909830,260,1,api=1,unset=1,1,
9788960909830,300,1,api=1,unset=1,1,
9788960909830,490,0,,,0,총서명 근거 부족
9788960909830,500,1,ai_inference=1,unset=1,1,
9788960909830,546,0,,,0,언어주기 생성 조건 미충족
9788960909830,650,0,,,0,통제 주제명은 표목표 대조 필요: 653으로 대체
9788960909830,653,1,ai_inference=1,unset=1,1,
9788960909830,700,1,ai_inference=1,unset=1,1,
9788960909830,710,0,,,0,단체명 근거 부족
9788960909830,830,0,,,0,총서 접근점 근거 부족
9788960909830,950,0,,,0,가격 외 로컬 비고 근거 부족
9791158366179,020,1,api=1,unset=1,1,
9791158366179,041,0,,,0,번역 정황이 확인되지 않음
9791158366179,056,1,api=1,unset=1,1,
9791158366179,082,0,,,0,DDC 근거 부족: 082 생성 보류
9791158366179,245,1,api=1,unset=1,1,
9791158366179,246,0,,,0,대체표제 근거 부족
9791158366179,250,0,,,0,판사항 근거 부족
