run,isbn,A_020,A_245,A_250,A_260,A_300,A_041,A_056,A_082,A_653,A_700,B_failures,C_FP,C_FN
mid-presentation,9791194630678,1.0,0.3333,,0.5,0.0,,0.5,,0.4444444444444445,0.6667,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-546: 546 단일 언어 추정 '한국어로 된 자료',"500,546",300
mid-presentation,9791124248232,1.0,0.5,,1.0,0.0,,0.0,,0.1818181818181818,0.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-546: 546 단일 언어 추정 '한국어로 된 자료',"500,546","056,300,700"
mid-presentation,9791173578823,1.0,0.5,,0.5,0.0,,0.0,,0.22222222222222224,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1',,"056,246,300"
mid-presentation,9788960909830,1.0,0.3333,,1.0,0.0,1.0,0.5,,0.0,0.6667,R-300: 300$c cm 아님 120*192 | R-056/082: 056$a 형식 8 | R-500: 500 언어정보(546/041 우선) '번역서',,"490,546"
mid-presentation,9791158366179,1.0,0.3333,,1.0,0.0,,0.5,,0.3636363636363636,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1' | R-056/082: 056$a 형식 8 | R-546: 546 단일 언어 추정 '한국어로 된 자료',"500,546","300,490"
mid-presentation,9788939231900,1.0,0.3333,,1.0,0.0,,1.0,,1.0,1.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 ' ' | R-056/082: 056$a 형식 8137 | R-546: 546 단일 언어 추정 '한국어로 된 자료',"500,546",300
mid-presentation,9788961555951,1.0,0.5,,0.5,0.5,,0.0,,0.0,1.0,R-300: 300$c cm 아님 124 x 195 mm,041,
mid-presentation,9791192638843,1.0,0.3333,,0.5,0.0,,0.0,,0.4,1.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-546: 546 단일 언어 추정 '한국어로 된 자료',"082,500,546",300
mid-presentation,9791199657311,1.0,0.5,,1.0,0.0,,0.5,,0.4444444444444445,1.0,R-245: 245$c 사용(책임표시는 $d/$e) | R-056/082: 056$a 형식 8,,"300,490"
mid-presentation,9791167701510,1.0,0.3333,,1.0,0.0,,0.0,,0.22222222222222224,0.0,R-245: 245$c 사용(책임표시는 $d/$e); 245 제1지시기호 '1',,"056,300,700"
